No.,Latitude,Longitude,Altitude,Pitch,Roll,Yaw
DSC05964.JPG,24.07135824,120.6688151,269,1.33,4.41,93.09
DSC05965.JPG,24.07130534,120.6693848,270,-1.38,8.55,97.78
DSC05966.JPG,24.07124023,120.669987,267,2.25,6.42,97.82
DSC05967.JPG,24.07118327,120.6705729,269,2.88,0.34,94.85
DSC05968.JPG,24.07111003,120.6711426,268,1.46,2.72,98.31001
DSC05969.JPG,24.07102865,120.6717122,268,2.31,6.27,99.27
DSC05970.JPG,24.07093099,120.6722819,267,3.03,-3.04,100.44
DSC05971.JPG,24.0708374,120.6728516,268,2.83,0.92,99.36
DSC05972.JPG,24.07074382,120.6734049,268,0.5,42.35,111.2
DSC05973.JPG,24.07046712,120.6738932,266,2.02,46.68,140.55
DSC05974.JPG,24.07005208,120.6741211,266,4.38,42.4,169.66
DSC05975.JPG,24.06966146,120.674056,265,4.88,47.07,-147.66
DSC05976.JPG,24.06949056,120.6737467,263,12.78,16.54,-100.21
DSC05977.JPG,24.06957194,120.6734049,266,10.6,0.71,-68.63
DSC05978.JPG,24.06967773,120.6730957,271,3.42,-6.25,-76.17
DSC05979.JPG,24.06975505,120.6727702,271,3.38,-1.07,-77.22
DSC05980.JPG,24.06981201,120.6724284,270,3.17,-1.82,-82.15
DSC05981.JPG,24.06986084,120.6720866,270,2.64,1.06,-80.41
DSC05982.JPG,24.06991781,120.6717448,268,2.33,-1.95,-82.35001
DSC05983.JPG,24.0699585,120.671403,268,3.31,-4.62,-86.53
DSC05984.JPG,24.06998291,120.6710612,270,0.5,6.6,-83.97
DSC05985.JPG,24.07001139,120.6707194,270,-1.11,2.44,-82.96
DSC05986.JPG,24.07004801,120.6703939,269,0.32,1.47,-84.05
DSC05987.JPG,24.07009684,120.6700521,265,3.71,1,-81.00999
DSC05988.JPG,24.07012939,120.669694,266,5.61,6.68,-83.59
DSC05989.JPG,24.07016602,120.6693685,268,2.44,2.43,-81.71001
DSC05990.JPG,24.07021077,120.669043,271,0.66,-3.63,-82.51
DSC05991.JPG,24.0702596,120.6687337,269,0.84,2.29,-81.61
DSC05992.JPG,24.07030436,120.6684082,268,3.42,-2.03,-83.42
DSC05993.JPG,24.07034098,120.6680827,266,2.52,2,-81.8
DSC05994.JPG,24.07037354,120.6677083,266,4.92,2.64,-84.61
DSC05995.JPG,24.07039795,120.6673991,269,1.3,5.6,-86.43001
DSC05996.JPG,24.07043457,120.667041,265,3.62,2.25,-82.53
DSC05997.JPG,24.07048747,120.6666667,265,7.25,0.12,-82.83
DSC05998.JPG,24.07053223,120.6663086,266,6.28,0.41,-83.14
DSC05999.JPG,24.07057699,120.6659505,268,3.26,2.12,-83.52
DSC06000.JPG,24.07062988,120.6655924,267,1.73,-2.38,-80.22
DSC06001.JPG,24.07067057,120.6652344,268,2.12,1.78,-84.91
DSC06002.JPG,24.07071126,120.6648763,270,1.92,0.48,-81.75001
DSC06003.JPG,24.07076009,120.6645508,274,-3.34,1.51,-81.14
DSC06004.JPG,24.07080078,120.6642253,269,-0.21,0.88,-83.78
DSC06005.JPG,24.07082926,120.6638672,266,3.37,0.01,-85.96
DSC06006.JPG,24.07085775,120.6635091,268,2.04,0.67,-86.46
DSC06007.JPG,24.0708903,120.6631673,267,2.17,13.47,-78.17
DSC06008.JPG,24.07093913,120.6628255,267,3.78,1.27,-81.78
DSC06009.JPG,24.07097575,120.6624674,269,0.89,3.79,-81.87
DSC06010.JPG,24.0710083,120.6621257,270,0.41,1.36,-85.53
DSC06011.JPG,24.07105306,120.6617513,268,0.11,4.93,-80.89
DSC06012.JPG,24.07109782,120.6614421,273,-3.05,-3.69,-82.73
DSC06013.JPG,24.07113444,120.6611003,269,-0.46,2.02,-84.67001
DSC06014.JPG,24.07117106,120.6607585,266,0.08,3.85,-80.79
DSC06015.JPG,24.07120361,120.6604492,270,-1.47,2.13,-84.77
DSC06016.JPG,24.0712321,120.6601074,267,0.09999999,-3.74,-87.17
DSC06017.JPG,24.07128499,120.6597493,266,0.11,-7.32,-84.03001
DSC06018.JPG,24.07132975,120.6594076,270,-0.52,1.59,-82.71001
DSC06019.JPG,24.07138265,120.6590495,267,0.13,-5.94,-82.88
DSC06020.JPG,24.07142741,120.6587077,267,-1.71,2.59,-83.03001
DSC06021.JPG,24.07146403,120.6583496,269,-1.64,2.94,-83.8
